"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,          95,      -7.788696631,      -7.246443006,      -7.804914027
          0,           0,          96,      -7.817152067,       -7.28997153,      -7.887471988
          0,           0,          97,       -7.84623947,       -7.32816013,      -7.979534016
          0,           0,          98,      -7.889910072,      -7.363156307,      -8.034618198
          0,           0,          99,      -7.949472876,      -7.400622805,      -8.029609964
          0,           0,         100,      -8.012785404,      -7.444094588,      -8.015043435
          0,           0,         101,      -8.062965793,       -7.49105171,       -8.04576697
          0,           0,         102,      -8.098315106,      -7.536898843,      -8.122685419
          0,           0,         103,      -8.135021847,      -7.579518433,      -8.209107215
          0,           0,         104,      -8.184503402,      -7.619511879,      -8.267215839
          0,           0,         105,      -8.245533602,      -7.659884882,      -8.279634229
          0,           0,         106,      -8.304890684,      -7.702186431,      -8.284096115
          0,           0,         107,      -8.353702056,      -7.745463824,       -8.31724664
          0,           0,         108,       -8.39756018,       -7.78841205,      -8.373204636
          0,           0,         109,      -8.442612093,      -7.829818212,      -8.431755897
          0,           0,         110,      -8.488564791,      -7.869343118,       -8.47804116
          0,           0,         111,      -8.531311204,      -7.907035841,      -8.515872159
          0,           0,         112,      -8.569324958,      -7.943065374,      -8.554442638
          0,           0,         113,      -8.603970088,      -7.978078865,         -8.592353
          0,           0,         114,      -8.632897872,      -8.010402168,      -8.627336549
          0,           0,         115,      -8.651839755,      -8.038638995,      -8.658705787
          0,           0,         116,      -8.661489075,      -8.062222842,       -8.69288703
          0,           0,         117,       -8.67049644,      -8.083047809,      -8.733186485
          0,           0,         118,      -8.684084263,      -8.103950422,      -8.771138319
          0,           0,         119,      -8.699582173,      -8.126638178,      -8.799957794
          0,           0,         120,      -8.707390715,      -8.148303944,      -8.830549652
          0,           0,         121,      -8.702079335,        -8.1636815,      -8.869515382
          0,           0,         122,      -8.692734231,       -8.17195601,      -8.910316037
          0,           0,         123,      -8.691588449,      -8.177698459,      -8.945239718
          0,           0,         124,      -8.702353501,      -8.186953954,      -8.955349413
          0,           0,         125,       -8.71953867,      -8.202845946,      -8.944531027
          0,           0,         126,      -8.731532197,      -8.222106819,      -8.952996352
          0,           0,         127,      -8.730229959,      -8.237058652,      -9.001166745
          0,           0,         128,      -8.722835414,      -8.244238281,      -9.068892897
          0,           0,         129,      -8.722074782,      -8.247414139,      -9.120866013
          0,           0,         130,      -8.732609139,      -8.252817557,      -9.121183659
          0,           0,         131,      -8.751713298,      -8.265028712,      -9.079093637
          0,           0,         132,      -8.770820973,      -8.283261727,      -9.052627425
          0,           0,         133,      -8.781237217,      -8.301693682,      -9.074121485
          0,           0,         134,      -8.783835536,      -8.315123275,      -9.134450378
          0,           0,         135,      -8.788461761,      -8.324306049,      -9.195392926
          0,           0,         136,      -8.800929047,       -8.33351503,      -9.212797144
          0,           0,         137,      -8.820608238,       -8.34692508,      -9.184593276
          0,           0,         138,      -8.841915391,      -8.365228669,      -9.158982007
          0,           0,         139,      -8.858062453,       -8.38496427,      -9.169902738
          0,           0,         140,       -8.86821508,      -8.402094055,      -9.215672399
          0,           0,         141,      -8.878791003,      -8.416241623,      -9.267271777
          0,           0,         142,      -8.894493355,      -8.429875799,      -9.290561414
          0,           0,         143,      -8.915375715,      -8.445917092,      -9.279656204
          0,           0,         144,      -8.938094647,      -8.465348979,       -9.26389605
          0,           0,         145,       -8.95849133,      -8.486527764,      -9.269113854
          0,           0,         146,      -8.975518874,      -8.507063824,        -9.2982511
          0,           0,         147,       -8.99205916,      -8.526126219,      -9.336480458
          0,           0,         148,      -9.010861754,       -8.54455124,       -9.36540758
          0,           0,         149,      -9.032334286,      -8.563713772,       -9.37807911
          0,           0,         150,      -9.055204136,      -8.584379944,      -9.382997486
          0,           0,         151,       -9.07799794,      -8.606326015,      -9.391839061
          0,           0,         152,      -9.100207775,      -8.628859339,      -9.409170641
          0,           0,         153,      -9.122221561,      -8.651439608,      -9.432820282
          0,           0,         154,      -9.144563521,      -8.673903093,      -9.458211863
          0,           0,         155,       -9.16760583,      -8.696431749,      -9.481455439
          0,           0,         156,      -9.191632795,      -8.719417216,      -9.500843035
          0,           0,         157,      -9.216642641,      -8.743203491,      -9.517670663
          0,           0,         158,      -9.242065439,      -8.767766211,      -9.535678899
          0,           0,         159,      -9.267151537,      -8.792661225,      -9.558007212
          0,           0,         160,      -9.291918912,      -8.817457602,      -9.583652263
          0,           0,         161,      -9.317421648,      -8.842283569,      -9.607573908
          0,           0,         162,      -9.344703654,      -8.867837822,      -9.626021518
          0,           0,         163,       -9.37334798,      -8.894650279,      -9.642443399
          0,           0,         164,      -9.401351616,      -8.922249851,       -9.66534885
          0,           0,         165,      -9.427398756,       -8.94944613,      -9.698240732
          0,           0,         166,      -9.453007067,      -8.975680411,      -9.733447473
          0,           0,         167,      -9.481112224,      -9.001834195,      -9.758005384
          0,           0,         168,      -9.513016072,      -9.029598145,      -9.768186972
          0,           0,         169,      -9.546506507,      -9.059739828,      -9.777616792
          0,           0,         170,       -9.57711767,      -9.090875402,      -9.803947943
          0,           0,         171,      -9.603437632,      -9.120705417,      -9.849464707
          0,           0,         172,      -9.629751701,       -9.14860511,       -9.89688774
          0,           0,         173,      -9.660801052,      -9.176250385,      -9.924145032
          0,           0,         174,      -9.697410851,      -9.206203292,      -9.928371287
          0,           0,         175,      -9.735291026,      -9.239305481,       -9.93364007
          0,           0,         176,      -9.768245656,      -9.273476155,      -9.963113344
          0,           0,         177,      -9.795797478,      -9.305914347,      -10.01580752
          0,           0,         178,       -9.82458296,      -9.336226221,      -10.06845416
          0,           0,         179,      -9.859500393,      -9.366414626,      -10.09695368
          0,           0,         180,      -9.900144662,      -9.399127903,      -10.10215717
          0,           0,         181,      -9.940793175,      -9.434818015,      -10.11202815
          0,           0,         182,      -9.975479165,      -9.471164478,      -10.14726246
          0,           0,         183,       -10.0060709,      -9.505889014,       -10.2011505
          0,           0,         184,      -10.03978808,      -9.539135982,      -10.24963009
          0,           0,         185,      -10.07990512,       -9.57286535,      -10.27504623
          0,           0,         186,      -10.12429341,      -9.609078668,      -10.28556077
          0,           0,         187,      -10.16651182,      -9.647427166,      -10.30707033
          0,           0,         188,      -10.20276992,        -9.6857025,      -10.35126954
          0,           0,         189,      -10.23809839,      -9.722692482,      -10.40418018
          0,           0,         190,      -10.27844053,      -9.759027453,      -10.44492385
          0,           0,         191,      -10.32476351,      -9.796484337,      -10.46578792
          0,           0,         192,      -10.37316668,      -9.836199559,      -10.48181677
          0,           0,         193,      -10.41758733,      -9.877261993,      -10.51399648
          0,           0,         194,      -10.45741888,       -9.91796717,      -10.56429099
          0,           0,         195,      -10.49855436,      -9.957646723,      -10.61639076
          0,           0,         196,      -10.54520536,      -9.996887637,      -10.65433245
          0,           0,         197,      -10.59716943,      -10.03708703,      -10.67549766
          0,           0,         198,      -10.65001792,      -10.07897804,      -10.69539606
          0,           0,         199,      -10.69810456,      -10.12174921,      -10.73241468
          0,           0,         200,       -10.7417602,      -10.16411546,      -10.78612363
          0,           0,         201,      -10.78707526,      -10.20553803,      -10.84050632
          0,           0,         202,       -10.8376244,      -10.24626213,      -10.88071217
          0,           0,         203,      -10.89067455,      -10.28681123,      -10.90618504
          0,           0,         204,      -10.93983377,      -10.32716213,      -10.93439537
          0,           0,         205,      -10.98291324,      -10.36680547,      -10.97910478
          0,           0,         206,      -11.02411736,      -10.40543051,      -11.03084611
          0,           0,         207,      -11.06537844,      -10.44302593,      -11.07527408
          0,           0,         208,      -11.10282913,      -10.47806658,       -11.1087405
          0,           0,         209,      -11.13196704,      -10.50994937,       -11.1406779
          0,           0,         210,      -11.15584367,      -10.53971162,      -11.18060359
          0,           0,         211,      -11.17901362,      -10.56845579,      -11.22405399
          0,           0,         212,      -11.19989206,       -10.5964194,      -11.26386287
          0,           0,         213,      -11.21251113,      -10.62137039,      -11.30006109
          0,           0,         214,       -11.2159952,       -10.6413736,      -11.33523398
          0,           0,         215,      -11.21802205,      -10.65756986,        -11.370893
          0,           0,         216,      -11.22468325,      -10.67281999,       -11.4028828
          0,           0,         217,      -11.23537141,      -10.68959315,      -11.42577401
          0,           0,         218,      -11.24383217,      -10.70705998,      -11.44744174
          0,           0,         219,      -11.24563086,      -10.72199564,      -11.47813107
          0,           0,         220,      -11.24423882,      -10.73305728,      -11.51425098
          0,           0,         221,      -11.24604793,      -10.74211358,       -11.5437994
          0,           0,         222,      -11.25358851,      -10.75222737,      -11.55687636
          0,           0,         223,      -11.26440132,      -10.76501668,      -11.55952145
          0,           0,         224,      -11.27329033,      -10.77894572,      -11.57056956
          0,           0,         225,      -11.27818935,      -10.79124997,      -11.59718169
          0,           0,         226,      -11.28270302,      -10.80130236,      -11.62717897
          0,           0,         227,      -11.29135635,      -10.81110465,      -11.64172116
          0,           0,         228,      -11.30539136,      -10.82340276,      -11.63511375
          0,           0,         229,      -11.32185929,      -10.83919322,      -11.62606065
          0,           0,         230,      -11.33548221,      -10.85637578,      -11.63839553
          0,           0,         231,       -11.3439539,      -10.87154493,      -11.67742156
          0,           0,         232,      -11.35111708,      -10.88355625,      -11.72493522
          0,           0,         233,      -11.36224766,      -10.89439046,      -11.75127341
          0,           0,         234,      -11.37948919,       -10.9073742,      -11.74155169
          0,           0,         235,      -11.40093903,      -10.92463543,      -11.71742575
          0,           0,         236,      -11.42133197,      -10.94505928,      -11.71248465
          0,           0,         237,      -11.43631711,      -10.96503148,      -11.74090594
          0,           0,         238,      -11.44766699,       -10.9819654,      -11.79108612
          0,           0,         239,      -11.46107099,      -10.99660883,      -11.83356234
          0,           0,         240,      -11.47990036,      -11.01186375,      -11.84279447
          0,           0,         241,       -11.5035535,      -11.03043916,      -11.82649422
          0,           0,         242,      -11.52782262,       -11.0524553,      -11.81709634
          0,           0,         243,      -11.54811129,      -11.07528798,      -11.83516517
          0,           0,         244,      -11.56440644,      -11.09620547,      -11.87683209
          0,           0,         245,      -11.58115321,      -11.11493135,      -11.92003332
          0,           0,         246,      -11.60195277,      -11.13341676,      -11.94130617
          0,           0,         247,      -11.62717337,      -11.15411456,        -11.938596
          0,           0,         248,      -11.65389076,      -11.17782017,      -11.93454623
          0,           0,         249,      -11.67789794,       -11.2028381,       -11.9503956
          0,           0,         250,      -11.69802074,      -11.22665707,      -11.98810299
          0,           0,         251,      -11.71754777,      -11.24841173,      -12.03127622
          0,           0,         252,      -11.74036182,      -11.26947142,      -12.05789718
          0,           0,         253,      -11.76784321,      -11.29227134,      -12.06053556
          0,           0,         254,       -11.7978845,      -11.31820715,      -12.05691281
          0,           0,         255,       -11.8257684,       -11.3460574,      -12.07094993
          0,           0,         256,      -11.84876091,       -11.3729816,      -12.11005585
          0,           0,         257,      -11.86980557,       -11.3974008,      -12.15995687
          0,           0,         258,      -11.89405442,      -11.42041617,      -12.19499579
          0,           0,         259,      -11.92411724,      -11.44487471,      -12.20050757
          0,           0,         260,      -11.95821757,      -11.47297676,      -12.19303486
          0,           0,         261,      -11.99040499,      -11.50384398,        -12.203097
          0,           0,         262,      -12.01609909,      -11.53408429,      -12.24378381
          0,           0,         263,      -12.03827859,      -11.56130846,      -12.30153687
          0,           0,         264,      -12.06383918,      -11.58637235,      -12.34635889
          0,           0,         265,      -12.09654852,      -11.61252015,      -12.35619835
          0,           0,         266,      -12.13467199,      -11.64268098,      -12.34632304
          0,           0,         267,      -12.17093199,      -11.67626949,      -12.35371129
          0,           0,         268,       -12.1992736,      -11.70951997,      -12.39560758
          0,           0,         269,      -12.22304798,      -11.73952743,      -12.45811082
          0,           0,         270,      -12.25071557,      -11.76699478,      -12.50855604
          0,           0,         271,      -12.28676606,      -11.79539356,      -12.52124811
          0,           0,         272,      -12.32906666,      -11.82803179,      -12.51151652
          0,           0,         273,      -12.36891554,      -11.86434131,      -12.52035665
          0,           0,         274,      -12.39951307,      -11.90030535,      -12.56587171
          0,           0,         275,      -12.42545798,      -11.93296384,      -12.63167201
          0,           0,         276,      -12.45647956,      -11.96309744,      -12.68335301
          0,           0,         277,      -12.49711579,      -11.99432907,      -12.69569937
          0,           0,         278,      -12.54414216,      -12.02998563,      -12.68743353
          0,           0,         279,      -12.58726349,      -12.06920495,      -12.70144079
          0,           0,         280,      -12.61989726,      -12.10783236,      -12.75307576
          0,           0,         281,       -12.6488421,      -12.14323779,      -12.82159701
          0,           0,         282,      -12.68460778,      -12.17636473,      -12.87213427
          0,           0,         283,      -12.73105826,      -12.21083915,      -12.88311533
          0,           0,         284,      -12.78326847,      -12.24970973,      -12.87804054
          0,           0,         285,      -12.82955237,      -12.29174388,      -12.89943749
          0,           0,         286,      -12.86487297,      -12.33302289,      -12.95724528
          0,           0,         287,      -12.89852579,      -12.37154265,       -13.0264485
          0,           0,         288,      -12.94066155,      -12.40821497,       -13.0748979
          0,           0,         289,      -12.99349643,      -12.44620097,      -13.08743957
          0,           0,         290,      -13.05010698,      -12.48784084,      -13.08999352
          0,           0,         291,       -13.0988183,      -12.53173971,      -13.12073642
          0,           0,         292,       -13.1383132,       -12.5749714,      -13.18220152
          0,           0,         293,      -13.17908107,      -12.61633156,      -13.24808264
          0,           0,         294,      -13.22835767,      -12.65633677,      -13.29373035
          0,           0,         295,      -13.28494359,       -12.6968472,      -13.31246201
          0,           0,         296,      -13.34092804,      -12.73887972,      -13.32713038
          0,           0,         297,      -13.38857253,      -12.78145126,      -13.36552859
          0,           0,         298,      -13.43097097,      -12.82317969,      -13.42592643
          0,           0,         299,      -13.47557697,      -12.86344305,       -13.4839906
          0,           0,         300,      -13.52285661,      -12.90218965,       -13.5238729
